market,link,price,name,date,datetime,stock
hareruya2,https://www.hareruya2.com/product/22840,1800.0,ヒスイダイケンキVS,2023-02-23,2023-02-23 08:02:59,6.0
cardrush,https://www.cardrush-pokemon.jp/product/33808,1680.0,ヒスイダイケンキVS,2023-02-23,2023-02-23 08:02:58,13.0
cardrush,https://www.cardrush-pokemon.jp/product/33901,1380.0,ヒスイダイケンキVS,2023-02-23,2023-02-23 08:02:58,19.0
cardrush,https://www.cardrush-pokemon.jp/product/33715,1780.0,ヒスイダイケンキVS,2023-02-23,2023-02-23 08:02:58,74.0
hareruya2,https://www.hareruya2.com/product/22840,1800.0,ヒスイダイケンキVS,2023-02-22,2023-02-22 08:05:44,6.0
cardrush,https://www.cardrush-pokemon.jp/product/33901,1380.0,ヒスイダイケンキVS,2023-02-22,2023-02-22 08:05:42,19.0
cardrush,https://www.cardrush-pokemon.jp/product/33808,1680.0,ヒスイダイケンキVS,2023-02-22,2023-02-22 08:05:42,13.0
cardrush,https://www.cardrush-pokemon.jp/product/33715,1780.0,ヒスイダイケンキVS,2023-02-22,2023-02-22 08:05:42,74.0
hareruya2,https://www.hareruya2.com/product/22840,1800.0,ヒスイダイケンキVS,2023-02-21,2023-02-21 08:02:40,6.0
cardrush,https://www.cardrush-pokemon.jp/product/33808,1680.0,ヒスイダイケンキVS,2023-02-21,2023-02-21 08:02:38,13.0
cardrush,https://www.cardrush-pokemon.jp/product/33901,1380.0,ヒスイダイケンキVS,2023-02-21,2023-02-21 08:02:38,19.0
cardrush,https://www.cardrush-pokemon.jp/product/33715,1780.0,ヒスイダイケンキVS,2023-02-21,2023-02-21 08:02:38,74.0
hareruya2,https://www.hareruya2.com/product/22840,1800.0,ヒスイダイケンキVS,2023-02-20,2023-02-20 08:03:07,7.0
cardrush,https://www.cardrush-pokemon.jp/product/33715,1780.0,ヒスイダイケンキVS,2023-02-20,2023-02-20 08:03:06,74.0
cardrush,https://www.cardrush-pokemon.jp/product/33901,1380.0,ヒスイダイケンキVS,2023-02-20,2023-02-20 08:03:06,19.0
cardrush,https://www.cardrush-pokemon.jp/product/33808,1680.0,ヒスイダイケンキVS,2023-02-20,2023-02-20 08:03:06,13.0
hareruya2,https://www.hareruya2.com/product/22840,1800.0,ヒスイダイケンキVS,2023-02-19,2023-02-19 08:02:30,7.0
cardrush,https://www.cardrush-pokemon.jp/product/33901,1380.0,ヒスイダイケンキVS,2023-02-19,2023-02-19 08:02:29,19.0
cardrush,https://www.cardrush-pokemon.jp/product/33808,1680.0,ヒスイダイケンキVS,2023-02-19,2023-02-19 08:02:29,13.0
cardrush,https://www.cardrush-pokemon.jp/product/33715,1780.0,ヒスイダイケンキVS,2023-02-19,2023-02-19 08:02:29,74.0
hareruya2,https://www.hareruya2.com/product/22840,1800.0,ヒスイダイケンキVS,2023-02-18,2023-02-18 08:03:45,8.0
cardrush,https://www.cardrush-pokemon.jp/product/33808,1680.0,ヒスイダイケンキVS,2023-02-18,2023-02-18 08:03:43,13.0
cardrush,https://www.cardrush-pokemon.jp/product/33901,1380.0,ヒスイダイケンキVS,2023-02-18,2023-02-18 08:03:43,19.0
cardrush,https://www.cardrush-pokemon.jp/product/33715,1780.0,ヒスイダイケンキVS,2023-02-18,2023-02-18 08:03:43,74.0
hareruya2,https://www.hareruya2.com/product/22840,1800.0,ヒスイダイケンキVS,2023-02-17,2023-02-17 07:58:12,8.0
cardrush,https://www.cardrush-pokemon.jp/product/33901,1380.0,ヒスイダイケンキVS,2023-02-17,2023-02-17 07:58:10,19.0
cardrush,https://www.cardrush-pokemon.jp/product/33715,1780.0,ヒスイダイケンキVS,2023-02-17,2023-02-17 07:58:10,73.0
cardrush,https://www.cardrush-pokemon.jp/product/33808,1680.0,ヒスイダイケンキVS,2023-02-17,2023-02-17 07:58:10,13.0
