market,link,price,name,date,datetime,stock
magi,/items/1746311690,150.0,きずぐすり TD 3,2023-02-05,2023-02-05 06:57:52,1.0
magi,/items/568566505,100.0,きずぐすり TD 3,2023-02-05,2023-02-05 06:57:52,1.0
magi,/items/1816663810,100.0,きずぐすり TD 3,2023-02-05,2023-02-05 06:57:52,1.0
magi,/items/63754762,100.0,きずぐすり TD 3,2023-02-05,2023-02-05 06:57:52,1.0
hareruya2,https://www.hareruya2.com/product/21960,50.0,きずぐすり(D){グ,2023-02-05,2023-02-05 06:57:50,64.0
hareruya2,https://www.hareruya2.com/product/21583,200.0,きずぐすり:ミラー(,2023-02-05,2023-02-05 06:57:50,25.0
cardrush,https://www.cardrush-pokemon.jp/product/23664,120.0,きずぐすり370/4,2023-02-05,2023-02-05 06:57:49,73.0
cardrush,https://www.cardrush-pokemon.jp/product/23663,80.0,きずぐすり370/4,2023-02-05,2023-02-05 06:57:49,36.0
torecolo,/shop/g/g370-414-SI-B/,24.0,【ポケカ】ＳＳ）通常,2023-02-05,2023-02-05 06:57:46,7.0
torecolo,/shop/g/g370-414-SI-BM/,33.0,【ポケカ】ＳＳ）ミラ,2023-02-05,2023-02-05 06:57:46,4.0
magi,/items/568566505,100.0,きずぐすり TD 3,2023-02-04,2023-02-04 07:01:47,1.0
magi,/items/1746311690,150.0,きずぐすり TD 3,2023-02-04,2023-02-04 07:01:47,1.0
magi,/items/63754762,100.0,きずぐすり TD 3,2023-02-04,2023-02-04 07:01:47,1.0
magi,/items/1816663810,100.0,きずぐすり TD 3,2023-02-04,2023-02-04 07:01:47,1.0
hareruya2,https://www.hareruya2.com/product/21583,200.0,きずぐすり:ミラー(,2023-02-04,2023-02-04 07:01:45,25.0
hareruya2,https://www.hareruya2.com/product/21960,50.0,きずぐすり(D){グ,2023-02-04,2023-02-04 07:01:45,64.0
cardrush,https://www.cardrush-pokemon.jp/product/23663,80.0,きずぐすり370/4,2023-02-04,2023-02-04 07:01:44,36.0
cardrush,https://www.cardrush-pokemon.jp/product/23664,120.0,きずぐすり370/4,2023-02-04,2023-02-04 07:01:44,73.0
torecolo,/shop/g/g370-414-SI-BM/,33.0,【ポケカ】ＳＳ）ミラ,2023-02-04,2023-02-04 07:01:42,4.0
torecolo,/shop/g/g370-414-SI-B/,24.0,【ポケカ】ＳＳ）通常,2023-02-04,2023-02-04 07:01:42,7.0
magi,/items/568566505,100.0,きずぐすり TD 3,2023-02-03,2023-02-03 06:57:25,1.0
magi,/items/1746311690,150.0,きずぐすり TD 3,2023-02-03,2023-02-03 06:57:25,1.0
magi,/items/1816663810,100.0,きずぐすり TD 3,2023-02-03,2023-02-03 06:57:25,1.0
hareruya2,https://www.hareruya2.com/product/21960,50.0,きずぐすり(D){グ,2023-02-03,2023-02-03 06:57:24,64.0
hareruya2,https://www.hareruya2.com/product/21583,200.0,きずぐすり:ミラー(,2023-02-03,2023-02-03 06:57:24,25.0
cardrush,https://www.cardrush-pokemon.jp/product/23663,80.0,きずぐすり370/4,2023-02-03,2023-02-03 06:57:22,36.0
cardrush,https://www.cardrush-pokemon.jp/product/23664,120.0,きずぐすり370/4,2023-02-03,2023-02-03 06:57:22,73.0
torecolo,/shop/g/g370-414-SI-BM/,33.0,【ポケカ】ＳＳ）ミラ,2023-02-03,2023-02-03 06:57:20,4.0
torecolo,/shop/g/g370-414-SI-B/,24.0,【ポケカ】ＳＳ）通常,2023-02-03,2023-02-03 06:57:20,7.0
magi,/items/1746311690,150.0,きずぐすり TD 3,2023-02-01,2023-02-01 07:05:06,1.0
magi,/items/568566505,100.0,きずぐすり TD 3,2023-02-01,2023-02-01 07:05:06,1.0
hareruya2,https://www.hareruya2.com/product/21960,50.0,きずぐすり(D){グ,2023-02-01,2023-02-01 07:05:03,64.0
hareruya2,https://www.hareruya2.com/product/21583,200.0,きずぐすり:ミラー(,2023-02-01,2023-02-01 07:05:03,25.0
cardrush,https://www.cardrush-pokemon.jp/product/23664,120.0,きずぐすり370/4,2023-02-01,2023-02-01 07:05:02,73.0
cardrush,https://www.cardrush-pokemon.jp/product/23663,80.0,きずぐすり370/4,2023-02-01,2023-02-01 07:05:02,36.0
torecolo,/shop/g/g370-414-SI-B/,24.0,【ポケカ】ＳＳ）通常,2023-02-01,2023-02-01 07:04:58,7.0
torecolo,/shop/g/g370-414-SI-BM/,33.0,【ポケカ】ＳＳ）ミラ,2023-02-01,2023-02-01 07:04:58,4.0
magi,/items/1746311690,150.0,きずぐすり TD 3,2023-01-31,2023-01-31 07:05:41,1.0
magi,/items/568566505,100.0,きずぐすり TD 3,2023-01-31,2023-01-31 07:05:41,1.0
hareruya2,https://www.hareruya2.com/product/21960,50.0,きずぐすり(D){グ,2023-01-31,2023-01-31 07:05:40,64.0
hareruya2,https://www.hareruya2.com/product/21583,200.0,きずぐすり:ミラー(,2023-01-31,2023-01-31 07:05:40,25.0
cardrush,https://www.cardrush-pokemon.jp/product/23664,120.0,きずぐすり370/4,2023-01-31,2023-01-31 07:05:39,73.0
cardrush,https://www.cardrush-pokemon.jp/product/23663,80.0,きずぐすり370/4,2023-01-31,2023-01-31 07:05:39,36.0
torecolo,/shop/g/g370-414-SI-BM/,33.0,【ポケカ】ＳＳ）ミラ,2023-01-31,2023-01-31 07:05:36,4.0
torecolo,/shop/g/g370-414-SI-B/,24.0,【ポケカ】ＳＳ）通常,2023-01-31,2023-01-31 07:05:36,7.0
magi,/items/1746311690,150.0,きずぐすり TD 3,2023-01-30,2023-01-30 07:01:35,1.0
magi,/items/568566505,100.0,きずぐすり TD 3,2023-01-30,2023-01-30 07:01:35,1.0
hareruya2,https://www.hareruya2.com/product/21583,200.0,きずぐすり:ミラー(,2023-01-30,2023-01-30 07:01:34,25.0
