master_id,expansion,cn,card_type,sub_type,name,rarity,regulation,is_mirror
s10a_001_071,S10a,001/071,ポケモン,草,パラス,C,F,False
s10a_001_071_m,S10a,001/071,ポケモン,草,パラス,C,F,True
s10a_002_071,S10a,002/071,ポケモン,草,パラセクト,U,F,False
s10a_002_071_m,S10a,002/071,ポケモン,草,パラセクト,U,F,True
s10a_003_071,S10a,003/071,ポケモン,草,ヒスイマルマインV,RR,F,False
s10a_004_071,S10a,004/071,ポケモン,草,ケムッソ,C,F,False
s10a_004_071_m,S10a,004/071,ポケモン,草,ケムッソ,C,F,True
s10a_005_071,S10a,005/071,ポケモン,草,カラサリス,C,F,False
s10a_005_071_m,S10a,005/071,ポケモン,草,カラサリス,C,F,True
s10a_006_071,S10a,006/071,ポケモン,草,アゲハント,R,F,False
s10a_007_071,S10a,007/071,ポケモン,草,マユルド,C,F,False
s10a_007_071_m,S10a,007/071,ポケモン,草,マユルド,C,F,True
s10a_008_071,S10a,008/071,ポケモン,草,ドクケイル,U,F,False
s10a_008_071_m,S10a,008/071,ポケモン,草,ドクケイル,U,F,True
s10a_009_071,S10a,009/071,ポケモン,水,ユキカブリ,C,F,False
s10a_009_071_m,S10a,009/071,ポケモン,水,ユキカブリ,C,F,True
s10a_010_071,S10a,010/071,ポケモン,水,ユキノオー,C,F,False
s10a_010_071_m,S10a,010/071,ポケモン,水,ユキノオー,C,F,True
s10a_011_071,S10a,011/071,ポケモン,水,フィオネ,U,F,False
s10a_011_071_m,S10a,011/071,ポケモン,水,フィオネ,U,F,True
s10a_012_071,S10a,012/071,ポケモン,水,ヒスイバスラオ,C,F,False
s10a_012_071_m,S10a,012/071,ポケモン,水,ヒスイバスラオ,C,F,True
s10a_013_071,S10a,013/071,ポケモン,水,ヒスイイダイトウ,R,F,False
s10a_014_071,S10a,014/071,ポケモン,雷,ピカチュウ,C,F,False
s10a_014_071_m,S10a,014/071,ポケモン,雷,ピカチュウ,C,F,True
s10a_015_071,S10a,015/071,ポケモン,雷,ライチュウ,U,F,False
s10a_015_071_m,S10a,015/071,ポケモン,雷,ライチュウ,U,F,True
s10a_016_071,S10a,016/071,ポケモン,雷,ジバコイルV,RR,F,False
s10a_017_071,S10a,017/071,ポケモン,雷,ジバコイルVSTAR,RRR,F,False
s10a_018_071,S10a,018/071,ポケモン,雷,ロトム,C,F,False
s10a_018_071_m,S10a,018/071,ポケモン,雷,ロトム,C,F,True
s10a_019_071,S10a,019/071,ポケモン,超,ピッピ,C,F,False
s10a_019_071_m,S10a,019/071,ポケモン,超,ピッピ,C,F,True
s10a_020_071,S10a,020/071,ポケモン,超,ピクシー,U,F,False
s10a_020_071_m,S10a,020/071,ポケモン,超,ピクシー,U,F,True
s10a_021_071,S10a,021/071,ポケモン,超,ゴース,C,F,False
s10a_021_071_m,S10a,021/071,ポケモン,超,ゴース,C,F,True
s10a_022_071,S10a,022/071,ポケモン,超,ゴースト,C,F,False
s10a_022_071_m,S10a,022/071,ポケモン,超,ゴースト,C,F,True
s10a_023_071,S10a,023/071,ポケモン,超,ゲンガー,R,F,False
s10a_024_071,S10a,024/071,ポケモン,超,バリヤード,U,F,False
s10a_024_071_m,S10a,024/071,ポケモン,超,バリヤード,U,F,True
s10a_025_071,S10a,025/071,ポケモン,超,ムウマ,C,F,False
s10a_025_071_m,S10a,025/071,ポケモン,超,ムウマ,C,F,True
s10a_026_071,S10a,026/071,ポケモン,超,ムウマージ,U,F,False
s10a_026_071_m,S10a,026/071,ポケモン,超,ムウマージ,U,F,True
s10a_027_071,S10a,027/071,ポケモン,超,かがやくサーナイト,K,F,False
s10a_028_071,S10a,028/071,ポケモン,超,チリーン,C,F,False
s10a_028_071_m,S10a,028/071,ポケモン,超,チリーン,C,F,True
s10a_029_071,S10a,029/071,ポケモン,超,ヒスイゾロア,C,F,False
s10a_029_071_m,S10a,029/071,ポケモン,超,ヒスイゾロア,C,F,True
s10a_030_071,S10a,030/071,ポケモン,超,ヒスイゾロアーク,R,F,False
s10a_031_071,S10a,031/071,ポケモン,超,ラブトロスV,RR,F,False
s10a_032_071,S10a,032/071,ポケモン,闘,ヒスイガーディ,C,F,False
s10a_032_071_m,S10a,032/071,ポケモン,闘,ヒスイガーディ,C,F,True
s10a_033_071,S10a,033/071,ポケモン,闘,ヒスイウインディ,R,F,False
s10a_034_071,S10a,034/071,ポケモン,闘,ワンリキー,C,F,False
s10a_034_071_m,S10a,034/071,ポケモン,闘,ワンリキー,C,F,True
s10a_035_071,S10a,035/071,ポケモン,闘,ゴーリキー,U,F,False
s10a_035_071_m,S10a,035/071,ポケモン,闘,ゴーリキー,U,F,True
s10a_036_071,S10a,036/071,ポケモン,闘,カイリキー,R,F,False
s10a_037_071,S10a,037/071,ポケモン,闘,ウソッキー,C,F,False
s10a_037_071_m,S10a,037/071,ポケモン,闘,ウソッキー,C,F,True
s10a_038_071,S10a,038/071,ポケモン,闘,グライガー,C,F,False
s10a_038_071_m,S10a,038/071,ポケモン,闘,グライガー,C,F,True
s10a_039_071,S10a,039/071,ポケモン,闘,グライオン,U,F,False
s10a_039_071_m,S10a,039/071,ポケモン,闘,グライオン,U,F,True
s10a_040_071,S10a,040/071,ポケモン,闘,エルレイドV,RR,F,False
s10a_041_071,S10a,041/071,ポケモン,悪,ズバット,C,F,False
s10a_041_071_m,S10a,041/071,ポケモン,悪,ズバット,C,F,True
s10a_042_071,S10a,042/071,ポケモン,悪,ゴルバット,C,F,False
s10a_042_071_m,S10a,042/071,ポケモン,悪,ゴルバット,C,F,True
s10a_043_071,S10a,043/071,ポケモン,悪,クロバット,R,F,False
s10a_044_071,S10a,044/071,ポケモン,悪,ヤミカラス,C,F,False
s10a_044_071_m,S10a,044/071,ポケモン,悪,ヤミカラス,C,F,True
s10a_045_071,S10a,045/071,ポケモン,悪,ドンカラス,U,F,False
s10a_045_071_m,S10a,045/071,ポケモン,悪,ドンカラス,U,F,True
s10a_046_071,S10a,046/071,ポケモン,悪,かがやくヒスイオオニューラ,K,F,False
s10a_047_071,S10a,047/071,ポケモン,悪,ミカルゲ,U,F,False
s10a_047_071_m,S10a,047/071,ポケモン,悪,ミカルゲ,U,F,True
s10a_048_071,S10a,048/071,ポケモン,悪,グレッグル,C,F,False
s10a_048_071_m,S10a,048/071,ポケモン,悪,グレッグル,C,F,True
s10a_049_071,S10a,049/071,ポケモン,悪,ドクロッグ,U,F,False
s10a_049_071_m,S10a,049/071,ポケモン,悪,ドクロッグ,U,F,True
s10a_050_071,S10a,050/071,ポケモン,鋼,かがやくハガネール,K,F,False
s10a_051_071,S10a,051/071,ポケモン,悪,ドーミラー,C,F,False
s10a_051_071_m,S10a,051/071,ポケモン,悪,ドーミラー,C,F,True
s10a_052_071,S10a,052/071,ポケモン,悪,ドータクン,U,F,False
s10a_052_071_m,S10a,052/071,ポケモン,悪,ドータクン,U,F,True
s10a_053_071,S10a,053/071,ポケモン,竜,ヌメラ,C,F,False
s10a_053_071_m,S10a,053/071,ポケモン,竜,ヌメラ,C,F,True
s10a_054_071,S10a,054/071,ポケモン,竜,ヒスイヌメイル,U,F,False
s10a_054_071_m,S10a,054/071,ポケモン,竜,ヒスイヌメイル,U,F,True
s10a_055_071,S10a,055/071,ポケモン,竜,ヒスイヌメルゴン,R,F,False
s10a_056_071,S10a,056/071,ポケモン,竜,ヒスイヌメルゴンV,RR,F,False
s10a_057_071,S10a,057/071,ポケモン,竜,ヒスイヌメルゴンVSTAR,RRR,F,False
s10a_058_071,S10a,058/071,ポケモン,無,カビゴン,R,F,False
s10a_059_071,S10a,059/071,ポケモン,無,エイパム,C,F,False
s10a_059_071_m,S10a,059/071,ポケモン,無,エイパム,C,F,True
s10a_060_071,S10a,060/071,ポケモン,竜,エテボース,U,F,False
s10a_060_071_m,S10a,060/071,ポケモン,竜,エテボース,U,F,True
s10a_061_071,S10a,061/071,ポケモン,無,ヒスイゾロアークV,RR,F,False
s10a_062_071,S10a,062/071,ポケモン,無,ヒスイゾロアークVSTAR,RRR,F,False
s10a_063_071,S10a,063/071,トレーナーズ,グッズ,アルセウスフォン,U,F,False
s10a_063_071_m,S10a,063/071,トレーナーズ,グッズ,アルセウスフォン,U,F,True
s10a_064_071,S10a,064/071,トレーナーズ,グッズ,ダメージポンプ,U,F,False
s10a_064_071_m,S10a,064/071,トレーナーズ,グッズ,ダメージポンプ,U,F,True
s10a_065_071,S10a,065/071,トレーナーズ,ポケモンのどうぐ,からくりアーム,U,F,False
s10a_065_071_m,S10a,065/071,トレーナーズ,ポケモンのどうぐ,からくりアーム,U,F,True
s10a_066_071,S10a,066/071,トレーナーズ,ポケモンのどうぐ,災いの箱,U,F,False
s10a_066_071_m,S10a,066/071,トレーナーズ,ポケモンのどうぐ,災いの箱,U,F,True
s10a_067_071,S10a,067/071,トレーナーズ,サポート,ウォロ,R,F,False
s10a_068_071,S10a,068/071,トレーナーズ,サポート,ススキ,U,F,False
s10a_068_071_m,S10a,068/071,トレーナーズ,サポート,ススキ,U,F,True
s10a_069_071,S10a,069/071,トレーナーズ,サポート,ヒナツ,U,F,False
s10a_069_071_m,S10a,069/071,トレーナーズ,サポート,ヒナツ,U,F,True
s10a_070_071,S10a,070/071,トレーナーズ,サポート,野盗三姉妹,U,F,False
s10a_070_071_m,S10a,070/071,トレーナーズ,サポート,野盗三姉妹,U,F,True
s10a_071_071,S10a,071/071,トレーナーズ,スタジアム,エイチ湖,U,F,False
s10a_071_071_m,S10a,071/071,トレーナーズ,スタジアム,エイチ湖,U,F,True
s10a_072_071,S10a,072/071,ポケモン,草,パラセクト,CHR,F,False
s10a_073_071,S10a,073/071,ポケモン,雷,ピカチュウ,CHR,F,False
s10a_074_071,S10a,074/071,ポケモン,超,ゲンガー,CHR,F,False
s10a_075_071,S10a,075/071,ポケモン,闘,ヒスイウインディ,CHR,F,False
s10a_076_071,S10a,076/071,ポケモン,悪,ミカルゲ,CHR,F,False
s10a_077_071,S10a,077/071,ポケモン,無,カビゴン,CHR,F,False
s10a_078_071,S10a,078/071,ポケモン,草,ヒスイマルマインV,SR,F,False
s10a_079_071,S10a,079/071,ポケモン,雷,ジバコイルV,SR,F,False
s10a_080_071,S10a,080/071,ポケモン,超,ラブトロスV,SR,F,False
